Year,UNIT_MEASURE,SEX,AGE,Value
2013,NUMBER,_T,0-4,114843
2013,NUMBER,_T, 5-9,116052
2013,NUMBER,_T, 10-14,126053
2013,NUMBER,_T,15-19,161881
2013,NUMBER,_T,20-24,150902
2013,NUMBER,_T,25-29,164203
2013,NUMBER,_T,30-34,160988
2013,NUMBER,_T,35-39,157715
2013,NUMBER,_T,40-44,154830
2013,NUMBER,_T,45-49,167109
2013,NUMBER,_T,50-54,173996
2013,NUMBER,_T,55-59,156089
2013,NUMBER,_T,60-64,128613
2013,NUMBER,_T,65-69,88391
2013,NUMBER,_T,70-74,81023
2013,NUMBER,_T,75-79,65613
2013,NUMBER,_T,80-84,35227
2013,NUMBER,_T,85+,15692
2013,NUMBER,M,0-4,59017
2013,NUMBER,M, 5-9,59633
2013,NUMBER,M, 10-14,64493
2013,NUMBER,M,15-19,83298
2013,NUMBER,M,20-24,77103
2013,NUMBER,M,25-29,84119
2013,NUMBER,M,30-34,81932
2013,NUMBER,M,35-39,78939
2013,NUMBER,M,40-44,77122
2013,NUMBER,M,45-49,82594
2013,NUMBER,M,50-54,85303
2013,NUMBER,M,55-59,75568
2013,NUMBER,M,60-64,59899
2013,NUMBER,M,65-69,39438
2013,NUMBER,M,70-74,34445
2013,NUMBER,M,75-79,26695
2013,NUMBER,M,80-84,13493
2013,NUMBER,M,85+,4902
2013,NUMBER,F,0-4,55826
2013,NUMBER,F, 5-9,56419
2013,NUMBER,F, 10-14,61560
2013,NUMBER,F,15-19,78583
2013,NUMBER,F,20-24,73799
2013,NUMBER,F,25-29,80084
2013,NUMBER,F,30-34,79056
2013,NUMBER,F,35-39,78776
2013,NUMBER,F,40-44,77708
2013,NUMBER,F,45-49,84515
2013,NUMBER,F,50-54,88693
2013,NUMBER,F,55-59,80521
2013,NUMBER,F,60-64,68714
2013,NUMBER,F,65-69,48953
2013,NUMBER,F,70-74,46578
2013,NUMBER,F,75-79,38918
2013,NUMBER,F,80-84,21734
2013,NUMBER,F,85+,10790
