Year,UNIT_MEASURE,ADMIN_AREA,type_of_school,Value
2016,NUMBER,federation_of_bih,gymnasium,
2016,NUMBER,federation_of_bih,technical_high_schools,
2016,NUMBER,federation_of_bih,vocational_high_schools,
2016,NUMBER,federation_of_bih,art_schools,
2016,NUMBER,federation_of_bih,religious_schools,
2016,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,
2017,NUMBER,federation_of_bih,gymnasium,
2017,NUMBER,federation_of_bih,technical_high_schools,
2017,NUMBER,federation_of_bih,vocational_high_schools,
2017,NUMBER,federation_of_bih,art_schools,
2017,NUMBER,federation_of_bih,religious_schools,
2017,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,
2018,NUMBER,federation_of_bih,gymnasium,
2018,NUMBER,federation_of_bih,technical_high_schools,
2018,NUMBER,federation_of_bih,vocational_high_schools,
2018,NUMBER,federation_of_bih,art_schools,
2018,NUMBER,federation_of_bih,religious_schools,
2018,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,
2019,NUMBER,federation_of_bih,gymnasium,
2019,NUMBER,federation_of_bih,technical_high_schools,
2019,NUMBER,federation_of_bih,vocational_high_schools,
2019,NUMBER,federation_of_bih,art_schools,
2019,NUMBER,federation_of_bih,religious_schools,
2019,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,
2020,NUMBER,federation_of_bih,gymnasium,
2020,NUMBER,federation_of_bih,technical_high_schools,
2020,NUMBER,federation_of_bih,vocational_high_schools,
2020,NUMBER,federation_of_bih,art_schools,
2020,NUMBER,federation_of_bih,religious_schools,
2020,NUMBER,federation_of_bih,high_schools_for_students_with_disabilities,
2016,NUMBER,una-sana_canton,gymnasium,
2016,NUMBER,una-sana_canton,technical_high_schools,
2016,NUMBER,una-sana_canton,vocational_high_schools,
2016,NUMBER,una-sana_canton,art_schools,
2016,NUMBER,una-sana_canton,religious_schools,
2016,NUMBER,una-sana_canton,high_schools_for_students_with_disabilities,
2017,NUMBER,una-sana_canton,gymnasium,
2017,NUMBER,una-sana_canton,technical_high_schools,
2017,NUMBER,una-sana_canton,vocational_high_schools,
2017,NUMBER,una-sana_canton,art_schools,
2017,NUMBER,una-sana_canton,religious_schools,
2017,NUMBER,una-sana_canton,high_schools_for_students_with_disabilities,
2018,NUMBER,una-sana_canton,gymnasium,
2018,NUMBER,una-sana_canton,technical_high_schools,
2018,NUMBER,una-sana_canton,vocational_high_schools,
2018,NUMBER,una-sana_canton,art_schools,
2018,NUMBER,una-sana_canton,religious_schools,
2018,NUMBER,una-sana_canton,high_schools_for_students_with_disabilities,
2019,NUMBER,una-sana_canton,gymnasium,
2019,NUMBER,una-sana_canton,technical_high_schools,
2019,NUMBER,una-sana_canton,vocational_high_schools,
2019,NUMBER,una-sana_canton,art_schools,
2019,NUMBER,una-sana_canton,religious_schools,
2019,NUMBER,una-sana_canton,high_schools_for_students_with_disabilities,
2020,NUMBER,una-sana_canton,gymnasium,
2020,NUMBER,una-sana_canton,technical_high_schools,
2020,NUMBER,una-sana_canton,vocational_high_schools,
2020,NUMBER,una-sana_canton,art_schools,
2020,NUMBER,una-sana_canton,religious_schools,
2020,NUMBER,una-sana_canton,high_schools_for_students_with_disabilities,
2016,NUMBER,posavina_canton,gymnasium,
2016,NUMBER,posavina_canton,technical_high_schools,
2016,NUMBER,posavina_canton,vocational_high_schools,
2016,NUMBER,posavina_canton,art_schools,
2016,NUMBER,posavina_canton,religious_schools,
2016,NUMBER,posavina_canton,high_schools_for_students_with_disabilities,
2017,NUMBER,posavina_canton,gymnasium,
