Year,UNIT_MEASURE,PYRAMID_SEX,PYRAMID_AGE,Value
2013,2013,M,0-4,-59017
2013,2013,M, 5-9,-59633
2013,2013,M, 10-14,-64493
2013,2013,M,15-19,-83298
2013,2013,M,20-24,-77103
2013,2013,M,25-29,-84119
2013,2013,M,30-34,-81932
2013,2013,M,35-39,-78939
2013,2013,M,40-44,-77122
2013,2013,M,45-49,-82594
2013,2013,M,50-54,-85303
2013,2013,M,55-59,-75568
2013,2013,M,60-64,-59899
2013,2013,M,65-69,-39438
2013,2013,M,70-74,-34445
2013,2013,M,75-79,-26695
2013,2013,M,80-84,-13493
2013,2013,M,85+,-4902
2013,2013,F,0-4,55826
2013,2013,F, 5-9,56419
2013,2013,F, 10-14,61560
2013,2013,F,15-19,78583
2013,2013,F,20-24,73799
2013,2013,F,25-29,80084
2013,2013,F,30-34,79056
2013,2013,F,35-39,78776
2013,2013,F,40-44,77708
2013,2013,F,45-49,84515
2013,2013,F,50-54,88693
2013,2013,F,55-59,80521
2013,2013,F,60-64,68714
2013,2013,F,65-69,48953
2013,2013,F,70-74,46578
2013,2013,F,75-79,38918
2013,2013,F,80-84,21734
2013,2013,F,85+,10790
